Metric,Group1,Group2,Mean1,Mean2,MeanDiff,p-adj,CI Lower,CI Upper,Reject
Throughput(Mbps),blackhole,ddos,0.2504343137055238,0.24753083460254852,-0.0029,1.0,-0.0659,0.0601,False
Throughput(Mbps),blackhole,dos,0.2504343137055238,0.24753083460254852,-0.0029,1.0,-0.0659,0.0601,False
Throughput(Mbps),blackhole,mitm,0.2504343137055238,0.2242105728066907,-0.0262,0.8414,-0.0892,0.0368,False
Throughput(Mbps),blackhole,mqtt,0.2504343137055238,0.2507136277030552,0.0003,1.0,-0.0627,0.0633,False
Throughput(Mbps),blackhole,normal,0.2504343137055238,0.2507136277030552,0.0003,1.0,-0.0627,0.0633,False
Throughput(Mbps),ddos,dos,0.24753083460254852,0.24753083460254852,0.0,1.0,-0.063,0.063,False
Throughput(Mbps),ddos,mitm,0.24753083460254852,0.2242105728066907,-0.0233,0.8974,-0.0863,0.0397,False
Throughput(Mbps),ddos,mqtt,0.24753083460254852,0.2507136277030552,0.0032,1.0,-0.0598,0.0662,False
Throughput(Mbps),ddos,normal,0.24753083460254852,0.2507136277030552,0.0032,1.0,-0.0598,0.0662,False
Throughput(Mbps),dos,mitm,0.24753083460254852,0.2242105728066907,-0.0233,0.8974,-0.0863,0.0397,False
Throughput(Mbps),dos,mqtt,0.24753083460254852,0.2507136277030552,0.0032,1.0,-0.0598,0.0662,False
Throughput(Mbps),dos,normal,0.24753083460254852,0.2507136277030552,0.0032,1.0,-0.0598,0.0662,False
Throughput(Mbps),mitm,mqtt,0.2242105728066907,0.2507136277030552,0.0265,0.8353,-0.0365,0.0895,False
Throughput(Mbps),mitm,normal,0.2242105728066907,0.2507136277030552,0.0265,0.8353,-0.0365,0.0895,False
Throughput(Mbps),mqtt,normal,0.2507136277030552,0.2507136277030552,0.0,1.0,-0.063,0.063,False
EndToEndDelay(ms),blackhole,ddos,2.288787767660566,2.6208093192830035,0.332,0.8555,-0.4866,1.1506,False
EndToEndDelay(ms),blackhole,dos,2.288787767660566,2.6208093192830035,0.332,0.8555,-0.4866,1.1506,False
EndToEndDelay(ms),blackhole,mitm,2.288787767660566,1.8567191454093688,-0.4321,0.6583,-1.2507,0.3865,False
EndToEndDelay(ms),blackhole,mqtt,2.288787767660566,2.4455663002747534,0.1568,0.9941,-0.6618,0.9754,False
EndToEndDelay(ms),blackhole,normal,2.288787767660566,2.4455663002747534,0.1568,0.9941,-0.6618,0.9754,False
EndToEndDelay(ms),ddos,dos,2.6208093192830035,2.6208093192830035,0.0,1.0,-0.8186,0.8186,False
EndToEndDelay(ms),ddos,mitm,2.6208093192830035,1.8567191454093688,-0.7641,0.0831,-1.5827,0.0545,False
EndToEndDelay(ms),ddos,mqtt,2.6208093192830035,2.4455663002747534,-0.1752,0.9901,-0.9939,0.6434,False
EndToEndDelay(ms),ddos,normal,2.6208093192830035,2.4455663002747534,-0.1752,0.9901,-0.9939,0.6434,False
EndToEndDelay(ms),dos,mitm,2.6208093192830035,1.8567191454093688,-0.7641,0.0831,-1.5827,0.0545,False
EndToEndDelay(ms),dos,mqtt,2.6208093192830035,2.4455663002747534,-0.1752,0.9901,-0.9939,0.6434,False
EndToEndDelay(ms),dos,normal,2.6208093192830035,2.4455663002747534,-0.1752,0.9901,-0.9939,0.6434,False
EndToEndDelay(ms),mitm,mqtt,1.8567191454093688,2.4455663002747534,0.5888,0.3115,-0.2298,1.4075,False
EndToEndDelay(ms),mitm,normal,1.8567191454093688,2.4455663002747534,0.5888,0.3115,-0.2298,1.4075,False
EndToEndDelay(ms),mqtt,normal,2.4455663002747534,2.4455663002747534,0.0,1.0,-0.8186,0.8186,False
Jitter(ms),blackhole,ddos,0.8878726933054085,0.8960761876388347,0.0082,1.0,-0.1975,0.2139,False
