Metric,Group1,Group2,Mean1,Mean2,MeanDiff,p-adj,CI Lower,CI Upper,Reject
Throughput(Mbps),blackhole,ddos,0.2504343137055238,0.2475308346025485,-0.0029,1.0,-0.0659,0.0601,False
Throughput(Mbps),blackhole,dos,0.2504343137055238,0.2475308346025485,-0.0029,1.0,-0.0659,0.0601,False
Throughput(Mbps),blackhole,mitm,0.2504343137055238,0.2242105728066907,-0.0262,0.8414,-0.0892,0.0368,False
Throughput(Mbps),blackhole,mqtt,0.2504343137055238,0.2507136277030552,0.0003,1.0,-0.0627,0.0633,False
Throughput(Mbps),blackhole,normal,0.2504343137055238,0.2507136277030552,0.0003,1.0,-0.0627,0.0633,False
Throughput(Mbps),ddos,dos,0.2475308346025485,0.2475308346025485,0.0,1.0,-0.063,0.063,False
Throughput(Mbps),ddos,mitm,0.2475308346025485,0.2242105728066907,-0.0233,0.8974,-0.0863,0.0397,False
Throughput(Mbps),ddos,mqtt,0.2475308346025485,0.2507136277030552,0.0032,1.0,-0.0598,0.0662,False
Throughput(Mbps),ddos,normal,0.2475308346025485,0.2507136277030552,0.0032,1.0,-0.0598,0.0662,False
Throughput(Mbps),dos,mitm,0.2475308346025485,0.2242105728066907,-0.0233,0.8974,-0.0863,0.0397,False
Throughput(Mbps),dos,mqtt,0.2475308346025485,0.2507136277030552,0.0032,1.0,-0.0598,0.0662,False
Throughput(Mbps),dos,normal,0.2475308346025485,0.2507136277030552,0.0032,1.0,-0.0598,0.0662,False
Throughput(Mbps),mitm,mqtt,0.2242105728066907,0.2507136277030552,0.0265,0.8353,-0.0365,0.0895,False
Throughput(Mbps),mitm,normal,0.2242105728066907,0.2507136277030552,0.0265,0.8353,-0.0365,0.0895,False
Throughput(Mbps),mqtt,normal,0.2507136277030552,0.2507136277030552,0.0,1.0,-0.063,0.063,False
EndToEndDelay(ms),blackhole,ddos,0.002288787767660566,0.0026208093192830037,0.000332,0.0008555,-0.00048659999999999996,0.0011506,0.0
EndToEndDelay(ms),blackhole,dos,0.002288787767660566,0.0026208093192830037,0.000332,0.0008555,-0.00048659999999999996,0.0011506,0.0
EndToEndDelay(ms),blackhole,mitm,0.002288787767660566,0.0018567191454093687,-0.0004321,0.0006583,-0.0012507,0.0003865,0.0
EndToEndDelay(ms),blackhole,mqtt,0.002288787767660566,0.0024455663002747536,0.0001568,0.0009941,-0.0006618,0.0009754000000000001,0.0
EndToEndDelay(ms),blackhole,normal,0.002288787767660566,0.0024455663002747536,0.0001568,0.0009941,-0.0006618,0.0009754000000000001,0.0
EndToEndDelay(ms),ddos,dos,0.0026208093192830037,0.0026208093192830037,0.0,0.001,-0.0008186,0.0008186,0.0
EndToEndDelay(ms),ddos,mitm,0.0026208093192830037,0.0018567191454093687,-0.0007641,8.309999999999999e-05,-0.0015827,5.4499999999999997e-05,0.0
