Metric,Group1,Group2,Mean1,Mean2,MeanDiff,p-adj,CI Lower,CI Upper,Reject
Throughput(Mbps),blackhole,ddos,0.2475308346025485,0.2475308346025485,0.0,1.0,-0.0624,0.0624,False
Throughput(Mbps),blackhole,dos,0.2475308346025485,0.2475308346025485,0.0,1.0,-0.0624,0.0624,False
Throughput(Mbps),blackhole,mitm,0.2475308346025485,0.2238214574107829,-0.0237,0.887,-0.0862,0.0387,False
Throughput(Mbps),blackhole,mqtt,0.2475308346025485,0.2507136277030552,0.0032,1.0,-0.0593,0.0656,False
Throughput(Mbps),blackhole,normal,0.2475308346025485,0.2569307161781527,0.0094,0.9979,-0.0515,0.0703,False
Throughput(Mbps),ddos,dos,0.2475308346025485,0.2475308346025485,0.0,1.0,-0.0624,0.0624,False
Throughput(Mbps),ddos,mitm,0.2475308346025485,0.2238214574107829,-0.0237,0.887,-0.0862,0.0387,False
Throughput(Mbps),ddos,mqtt,0.2475308346025485,0.2507136277030552,0.0032,1.0,-0.0593,0.0656,False
Throughput(Mbps),ddos,normal,0.2475308346025485,0.2569307161781527,0.0094,0.9979,-0.0515,0.0703,False
Throughput(Mbps),dos,mitm,0.2475308346025485,0.2238214574107829,-0.0237,0.887,-0.0862,0.0387,False
Throughput(Mbps),dos,mqtt,0.2475308346025485,0.2507136277030552,0.0032,1.0,-0.0593,0.0656,False
Throughput(Mbps),dos,normal,0.2475308346025485,0.2569307161781527,0.0094,0.9979,-0.0515,0.0703,False
Throughput(Mbps),mitm,mqtt,0.2238214574107829,0.2507136277030552,0.0269,0.8212,-0.0355,0.0893,False
Throughput(Mbps),mitm,normal,0.2238214574107829,0.2569307161781527,0.0331,0.6281,-0.0278,0.094,False
Throughput(Mbps),mqtt,normal,0.2507136277030552,0.2569307161781527,0.0062,0.9997,-0.0546,0.0671,False
EndToEndDelay(s),blackhole,ddos,0.0026208093192830037,0.0026208093192830037,0.0,1.0,-0.0008101,0.0008101,False
EndToEndDelay(s),blackhole,dos,0.0026208093192830037,0.0026208093192830037,0.0,1.0,-0.0008101,0.0008101,False
EndToEndDelay(s),blackhole,mitm,0.0026208093192830037,0.001863003117135304,-0.0007578,0.0819,-0.0015679000000000001,5.23e-05,False
EndToEndDelay(s),blackhole,mqtt,0.0026208093192830037,0.0024455663002747536,-0.0001752,0.9897,-0.0009854,0.0006349,False
EndToEndDelay(s),blackhole,normal,0.0026208093192830037,0.002827711669794466,0.0002069,0.9755,-0.0005827,0.0009965,False
EndToEndDelay(s),ddos,dos,0.0026208093192830037,0.0026208093192830037,0.0,1.0,-0.0008101,0.0008101,False
EndToEndDelay(s),ddos,mitm,0.0026208093192830037,0.001863003117135304,-0.0007578,0.0819,-0.0015679000000000001,5.23e-05,False
EndToEndDelay(s),ddos,mqtt,0.0026208093192830037,0.0024455663002747536,-0.0001752,0.9897,-0.0009854,0.0006349,False
EndToEndDelay(s),ddos,normal,0.0026208093192830037,0.002827711669794466,0.0002069,0.9755,-0.0005827,0.0009965,False
EndToEndDelay(s),dos,mitm,0.0026208093192830037,0.001863003117135304,-0.0007578,0.0819,-0.0015679000000000001,5.23e-05,False
EndToEndDelay(s),dos,mqtt,0.0026208093192830037,0.0024455663002747536,-0.0001752,0.9897,-0.0009854,0.0006349,False
