Metric,Group1,Group2,Mean1,Mean2,MeanDiff,p-adj,CI Lower,CI Upper,Reject
Throughput(Mbps),blackhole,ddos,0.2475308346025485,0.2475308346025485,0.0,1.0,-0.0628,0.0628,False
Throughput(Mbps),blackhole,dos,0.2475308346025485,0.2475308346025485,0.0,1.0,-0.0628,0.0628,False
Throughput(Mbps),blackhole,mitm,0.2475308346025485,0.2238214574107829,-0.0237,0.8897,-0.0865,0.0391,False
Throughput(Mbps),blackhole,mqtt,0.2475308346025485,0.2507136277030552,0.0032,1.0,-0.0596,0.066,False
Throughput(Mbps),blackhole,normal,0.2475308346025485,0.2524376363816784,0.0049,0.9998,-0.0495,0.0593,False
Throughput(Mbps),ddos,dos,0.2475308346025485,0.2475308346025485,0.0,1.0,-0.0628,0.0628,False
Throughput(Mbps),ddos,mitm,0.2475308346025485,0.2238214574107829,-0.0237,0.8897,-0.0865,0.0391,False
Throughput(Mbps),ddos,mqtt,0.2475308346025485,0.2507136277030552,0.0032,1.0,-0.0596,0.066,False
Throughput(Mbps),ddos,normal,0.2475308346025485,0.2524376363816784,0.0049,0.9998,-0.0495,0.0593,False
Throughput(Mbps),dos,mitm,0.2475308346025485,0.2238214574107829,-0.0237,0.8897,-0.0865,0.0391,False
Throughput(Mbps),dos,mqtt,0.2475308346025485,0.2507136277030552,0.0032,1.0,-0.0596,0.066,False
Throughput(Mbps),dos,normal,0.2475308346025485,0.2524376363816784,0.0049,0.9998,-0.0495,0.0593,False
Throughput(Mbps),mitm,mqtt,0.2238214574107829,0.2507136277030552,0.0269,0.8252,-0.0359,0.0897,False
Throughput(Mbps),mitm,normal,0.2238214574107829,0.2524376363816784,0.0286,0.662,-0.0258,0.083,False
Throughput(Mbps),mqtt,normal,0.2507136277030552,0.2524376363816784,0.0017,1.0,-0.0527,0.0561,False
EndToEndDelay(ms),blackhole,ddos,0.0026208093192830037,0.0026208093192830037,0.0,1.0,-0.0008277,0.0008277,False
EndToEndDelay(ms),blackhole,dos,0.0026208093192830037,0.0026208093192830037,0.0,1.0,-0.0008277,0.0008277,False
EndToEndDelay(ms),blackhole,mitm,0.0026208093192830037,0.001863003117135304,-0.0007578,0.0946,-0.0015854999999999999,6.99e-05,False
EndToEndDelay(ms),blackhole,mqtt,0.0026208093192830037,0.0024455663002747536,-0.0001752,0.9907,-0.001003,0.0006525,False
EndToEndDelay(ms),blackhole,normal,0.0026208093192830037,0.002288009858748969,-0.00033279999999999996,0.7699,-0.0010496000000000001,0.000384,False
EndToEndDelay(ms),ddos,dos,0.0026208093192830037,0.0026208093192830037,0.0,1.0,-0.0008277,0.0008277,False
EndToEndDelay(ms),ddos,mitm,0.0026208093192830037,0.001863003117135304,-0.0007578,0.0946,-0.0015854999999999999,6.99e-05,False
EndToEndDelay(ms),ddos,mqtt,0.0026208093192830037,0.0024455663002747536,-0.0001752,0.9907,-0.001003,0.0006525,False
EndToEndDelay(ms),ddos,normal,0.0026208093192830037,0.002288009858748969,-0.00033279999999999996,0.7699,-0.0010496000000000001,0.000384,False
EndToEndDelay(ms),dos,mitm,0.0026208093192830037,0.001863003117135304,-0.0007578,0.0946,-0.0015854999999999999,6.99e-05,False
EndToEndDelay(ms),dos,mqtt,0.0026208093192830037,0.0024455663002747536,-0.0001752,0.9907,-0.001003,0.0006525,False
EndToEndDelay(ms),dos,normal,0.0026208093192830037,0.002288009858748969,-0.00033279999999999996,0.7699,-0.0010496000000000001,0.000384,False
EndToEndDelay(ms),mitm,mqtt,0.001863003117135304,0.0024455663002747536,0.0005826,0.3366,-0.0002452,0.0014103000000000002,False
EndToEndDelay(ms),mitm,normal,0.001863003117135304,0.002288009858748969,0.000425,0.5357,-0.0002918,0.0011419,False
EndToEndDelay(ms),mqtt,normal,0.0024455663002747536,0.002288009858748969,-0.00015759999999999998,0.9889,-0.0008744,0.0005593,False
Jitter(ms),blackhole,ddos,0.0008960761876388347,0.0008960761876388347,0.0,1.0,-0.000204,0.000204,False
Jitter(ms),blackhole,dos,0.0008960761876388347,0.0008960761876388347,0.0,1.0,-0.000204,0.000204,False
Jitter(ms),blackhole,mitm,0.0008960761876388347,0.0006204625155563774,-0.00027560000000000003,0.0017,-0.0004797,-7.159999999999999e-05,True
Jitter(ms),blackhole,mqtt,0.0008960761876388347,0.0007627349268911688,-0.00013330000000000001,0.4229,-0.00033739999999999996,7.07e-05,False
Jitter(ms),blackhole,normal,0.0008960761876388347,0.0007624586318740222,-0.0001336,0.2574,-0.0003103,4.31e-05,False
Jitter(ms),ddos,dos,0.0008960761876388347,0.0008960761876388347,0.0,1.0,-0.000204,0.000204,False
Jitter(ms),ddos,mitm,0.0008960761876388347,0.0006204625155563774,-0.00027560000000000003,0.0017,-0.0004797,-7.159999999999999e-05,True
Jitter(ms),ddos,mqtt,0.0008960761876388347,0.0007627349268911688,-0.00013330000000000001,0.4229,-0.00033739999999999996,7.07e-05,False
Jitter(ms),ddos,normal,0.0008960761876388347,0.0007624586318740222,-0.0001336,0.2574,-0.0003103,4.31e-05,False
Jitter(ms),dos,mitm,0.0008960761876388347,0.0006204625155563774,-0.00027560000000000003,0.0017,-0.0004797,-7.159999999999999e-05,True
Jitter(ms),dos,mqtt,0.0008960761876388347,0.0007627349268911688,-0.00013330000000000001,0.4229,-0.00033739999999999996,7.07e-05,False
Jitter(ms),dos,normal,0.0008960761876388347,0.0007624586318740222,-0.0001336,0.2574,-0.0003103,4.31e-05,False
Jitter(ms),mitm,mqtt,0.0006204625155563774,0.0007627349268911688,0.00014230000000000002,0.3473,-6.18e-05,0.0003463,False
Jitter(ms),mitm,normal,0.0006204625155563774,0.0007624586318740222,0.00014199999999999998,0.1967,-3.47e-05,0.0003187,False
Jitter(ms),mqtt,normal,0.0007627349268911688,0.0007624586318740222,-3e-07,1.0,-0.000177,0.0001764,False
PacketLoss(%),blackhole,ddos,1.8550185852362164,1.8550185852362164,0.0,1.0,-5.0964,5.0964,False
PacketLoss(%),blackhole,dos,1.8550185852362164,1.8550185852362164,0.0,1.0,-5.0964,5.0964,False
PacketLoss(%),blackhole,mitm,1.8550185852362164,11.499843063402386,9.6448,0.0,4.5484,14.7412,True
PacketLoss(%),blackhole,mqtt,1.8550185852362164,0.8217928145468011,-1.0332,0.9924,-6.1296,4.0632,False
PacketLoss(%),blackhole,normal,1.8550185852362164,0.6070671542916052,-1.248,0.966,-5.6616,3.1657,False
PacketLoss(%),ddos,dos,1.8550185852362164,1.8550185852362164,0.0,1.0,-5.0964,5.0964,False
