Metric,group1,group2,meandiff,p-adj,lower,upper,reject
Throughput_Mbps,blackhole,ddos,0.0,0.0,0.0,0.0,True
Throughput_Mbps,blackhole,dos,0.0,0.0,0.0,0.0,True
Throughput_Mbps,blackhole,mitm,-0.0,0.0,-0.0,-0.0,True
Throughput_Mbps,blackhole,mqtt,0.0,0.0,0.0,0.0,True
Throughput_Mbps,blackhole,normal,0.0,0.0,0.0,0.0,True
Throughput_Mbps,ddos,dos,0.0,0.0,0.0,0.0,True
Throughput_Mbps,ddos,mitm,-0.0,0.0,-0.0,-0.0,True
Throughput_Mbps,ddos,mqtt,-0.0,0.0017,-0.0,-0.0,True
Throughput_Mbps,ddos,normal,0.0,1.0,-0.0,0.0,False
Throughput_Mbps,dos,mitm,-0.0,0.0,-0.0,-0.0,True
Throughput_Mbps,dos,mqtt,-0.0,0.0,-0.0,-0.0,True
Throughput_Mbps,dos,normal,-0.0,0.0,-0.0,-0.0,True
Throughput_Mbps,mitm,mqtt,0.0,0.0,0.0,0.0,True
Throughput_Mbps,mitm,normal,0.0,0.0,0.0,0.0,True
Throughput_Mbps,mqtt,normal,0.0,0.0017,0.0,0.0,True
End-to-End_Delay_s,blackhole,ddos,2.822,0.0,2.6076,3.0364,True
End-to-End_Delay_s,blackhole,mitm,-11.5737,0.0,-11.7881,-11.3593,True
End-to-End_Delay_s,blackhole,mqtt,-3.2944,0.0,-3.5088,-3.08,True
End-to-End_Delay_s,blackhole,normal,0.1745,0.1599,-0.0399,0.3888,False
End-to-End_Delay_s,ddos,mitm,-14.3957,0.0,-14.6101,-14.1813,True
End-to-End_Delay_s,ddos,mqtt,-6.1164,0.0,-6.3308,-5.902,True
End-to-End_Delay_s,ddos,normal,-2.6476,0.0,-2.8619,-2.4332,True
End-to-End_Delay_s,mitm,mqtt,8.2793,0.0,8.0649,8.4936,True
End-to-End_Delay_s,mitm,normal,11.7481,0.0,11.5337,11.9625,True
End-to-End_Delay_s,mqtt,normal,3.4689,0.0,3.2545,3.6833,True
Jitter_s,blackhole,ddos,1.2709,0.0,1.1625,1.3794,True
Jitter_s,blackhole,mitm,-5.7129,0.0,-5.8213,-5.6044,True
Jitter_s,blackhole,mqtt,-2.2646,0.0,-2.373,-2.1561,True
Jitter_s,ddos,mitm,-6.9838,0.0,-7.0923,-6.8754,True
Jitter_s,ddos,mqtt,-3.5355,0.0,-3.644,-3.4271,True
Jitter_s,mitm,mqtt,3.4483,0.0,3.3399,3.5568,True
Packet_Loss_%,blackhole,ddos,-6.0313,0.0,-6.3611,-5.7016,True
Packet_Loss_%,blackhole,dos,-5.7908,0.0,-6.1205,-5.461,True
Packet_Loss_%,blackhole,mitm,26.0659,0.0,25.7361,26.3956,True
Packet_Loss_%,blackhole,mqtt,-5.0164,0.0,-5.3461,-4.6866,True
Packet_Loss_%,blackhole,normal,-6.0243,0.0,-6.354,-5.6945,True
Packet_Loss_%,ddos,dos,0.2406,0.2756,-0.0892,0.5703,False
Packet_Loss_%,ddos,mitm,32.0972,0.0,31.7674,32.4269,True
Packet_Loss_%,ddos,mqtt,1.0149,0.0,0.6852,1.3447,True
Packet_Loss_%,ddos,normal,0.007,1.0,-0.3227,0.3368,False
Packet_Loss_%,dos,mitm,31.8566,0.0,31.5269,32.1864,True
Packet_Loss_%,dos,mqtt,0.7744,0.0,0.4446,1.1041,True
Packet_Loss_%,dos,normal,-0.2335,0.3067,-0.5633,0.0962,False
Packet_Loss_%,mitm,mqtt,-31.0823,0.0,-31.412,-30.7525,True
Packet_Loss_%,mitm,normal,-32.0902,0.0,-32.4199,-31.7604,True
Packet_Loss_%,mqtt,normal,-1.0079,0.0,-1.3377,-0.6781,True
