Metric,group1,group2,meandiff,p-adj,lower,upper,reject
Throughput_Mbps,BH,DDoS,0.0,1.0,-0.0541,0.0541,False
Throughput_Mbps,BH,DoS,0.098,0.0,0.0439,0.1521,True
Throughput_Mbps,BH,MITM,-0.0933,0.0,-0.1475,-0.0392,True
Throughput_Mbps,BH,NORMAL,0.0045,0.9994,-0.0496,0.0586,False
Throughput_Mbps,DDoS,DoS,0.098,0.0,0.0439,0.1521,True
Throughput_Mbps,DDoS,MITM,-0.0933,0.0,-0.1475,-0.0392,True
Throughput_Mbps,DDoS,NORMAL,0.0045,0.9994,-0.0496,0.0586,False
Throughput_Mbps,DoS,MITM,-0.1913,0.0,-0.2454,-0.1372,True
Throughput_Mbps,DoS,NORMAL,-0.0935,0.0,-0.1476,-0.0394,True
Throughput_Mbps,MITM,NORMAL,0.0978,0.0,0.0437,0.1519,True
End-to-End_Delay_s,BH,DDoS,0.0,1.0,-0.0003,0.0003,False
End-to-End_Delay_s,BH,DoS,0.001,0.0,0.0007,0.0014,True
End-to-End_Delay_s,BH,MITM,-0.0004,0.0044,-0.0008,-0.0001,True
End-to-End_Delay_s,BH,NORMAL,-0.0001,0.967,-0.0004,0.0003,False
End-to-End_Delay_s,DDoS,DoS,0.001,0.0,0.0007,0.0014,True
End-to-End_Delay_s,DDoS,MITM,-0.0004,0.0044,-0.0008,-0.0001,True
End-to-End_Delay_s,DDoS,NORMAL,-0.0001,0.967,-0.0004,0.0003,False
End-to-End_Delay_s,DoS,MITM,-0.0015,0.0,-0.0018,-0.0011,True
End-to-End_Delay_s,DoS,NORMAL,-0.0011,0.0,-0.0015,-0.0008,True
End-to-End_Delay_s,MITM,NORMAL,0.0003,0.0356,0.0,0.0007,True
Jitter_s,BH,DDoS,0.0,1.0,-0.0001,0.0001,False
Jitter_s,BH,DoS,0.0,1.0,-0.0001,0.0001,False
Jitter_s,BH,MITM,-0.0003,0.0,-0.0003,-0.0002,True
Jitter_s,BH,NORMAL,-0.0001,0.0027,-0.0002,-0.0,True
Jitter_s,DDoS,DoS,0.0,1.0,-0.0001,0.0001,False
Jitter_s,DDoS,MITM,-0.0003,0.0,-0.0003,-0.0002,True
Jitter_s,DDoS,NORMAL,-0.0001,0.0027,-0.0002,-0.0,True
Jitter_s,DoS,MITM,-0.0003,0.0,-0.0003,-0.0002,True
Jitter_s,DoS,NORMAL,-0.0001,0.0021,-0.0002,-0.0,True
Jitter_s,MITM,NORMAL,0.0002,0.0,0.0001,0.0002,True
Packet_Loss_%,BH,DDoS,0.0,1.0,-4.9636,4.9636,False
Packet_Loss_%,BH,DoS,0.0062,1.0,-4.9574,4.9698,False
Packet_Loss_%,BH,MITM,27.1587,0.0,22.1951,32.1223,True
Packet_Loss_%,BH,NORMAL,0.0,1.0,-4.9636,4.9636,False
Packet_Loss_%,DDoS,DoS,0.0062,1.0,-4.9574,4.9698,False
Packet_Loss_%,DDoS,MITM,27.1587,0.0,22.1951,32.1223,True
Packet_Loss_%,DDoS,NORMAL,0.0,1.0,-4.9636,4.9636,False
Packet_Loss_%,DoS,MITM,27.1525,0.0,22.1889,32.1161,True
Packet_Loss_%,DoS,NORMAL,-0.0062,1.0,-4.9698,4.9574,False
Packet_Loss_%,MITM,NORMAL,-27.1587,0.0,-32.1223,-22.1951,True
