group1,group2,meandiff,p-adj,lower,upper,reject
blackhole,ddos,-0.0574,0.2611,-0.1337,0.0188,False
blackhole,dos,-0.054,0.3297,-0.1302,0.0223,False
blackhole,mitm,0.2402,0.0,0.164,0.3164,True
blackhole,mqtt,-0.0485,0.4543,-0.1247,0.0277,False
blackhole,normal,-0.0575,0.2604,-0.1337,0.0188,False
ddos,dos,0.0035,1.0,-0.0728,0.0797,False
ddos,mitm,0.2976,0.0,0.2214,0.3739,True
ddos,mqtt,0.0089,0.9994,-0.0673,0.0852,False
ddos,normal,-0.0,1.0,-0.0763,0.0762,False
dos,mitm,0.2942,0.0,0.2179,0.3704,True
dos,mqtt,0.0055,0.9999,-0.0708,0.0817,False
dos,normal,-0.0035,1.0,-0.0797,0.0727,False
mitm,mqtt,-0.2887,0.0,-0.3649,-0.2125,True
mitm,normal,-0.2977,0.0,-0.3739,-0.2214,True
mqtt,normal,-0.009,0.9994,-0.0852,0.0673,False
